         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1468.28725      1468.27139     201080.0608       2101.4889      -8112.3761      -2111.2169        602.6595       2101.4889
     1468.30809      1468.29223     198402.9699       2091.8235      -8134.8155      -2111.2169      -2039.8305       2091.8235
     1468.32892      1468.31306     171985.9270       1905.5358      -9767.9252      -2111.2169      -4650.2494       1905.5358
     1468.34975      1468.33389     162692.4581       1947.5036      -6471.9649      -2111.2169      -3335.1173       1947.5036
     1468.37059      1468.35473     141262.1258       2279.8928     -13934.6189      -2151.9721      -1653.2708       2279.8928
     1468.41225      1468.39639     160900.5730       1939.9545     -12582.8634      -2151.9721      -6294.2471       1939.9545
     1468.43309      1468.41723     148176.5862       2050.2207     -19869.6241      -2151.9721      -2151.9721       2050.2207
     1468.45392      1468.43806     135911.9446       1946.9358      -9304.3945      -2151.9721       1058.0694       1946.9358
     1468.47475      1468.45889     176986.3950       2121.5792     -13306.3391      -2151.9721      -7324.3937       2121.5792
     1468.49559      1468.47973     135046.1037       2043.6830     -12346.4596      -2151.9721       -183.2955       2043.6830
     1468.51642      1468.50056      82120.2820       1932.8977     -11147.2039      -2151.9721      -3525.9540       1932.8977
     1468.53725      1468.52139     166142.3439       1987.3398      -9371.3366      -2151.9721      -1369.4294       1987.3398
     1468.55809      1468.54223     180711.4280       2125.8315     -15065.4986      -2151.9721      -3961.9869       2125.8315
     1468.57892      1468.56306     167638.1129       2001.4598     -13055.7633      -2151.9721      -3751.5458       2001.4598
     1468.59976      1468.58389     139859.4012       1943.5478     -11957.8899      -2151.9721      -2111.2169       1943.5478
     1468.62059      1468.60473     150408.7094       2062.5705     -11631.2812      -2151.9721       -219.2430       2062.5705
     1468.64142      1468.62556     147180.8637       1970.4214      -6991.1324      -2151.9721        195.0446       1970.4214
     1468.66226      1468.64639     144062.6635       2089.7492     -12861.6275      -2430.5886      -2430.5886       2089.7492
     1468.68309      1468.66723     157141.7852       1988.8029     -16899.4073      -2430.5886      -4782.7172       1988.8029
     1468.70392      1468.68806     153096.5170       1997.4595     -17687.3488      -2151.9721      -6784.4727       1997.4595
     1468.72476      1468.70889     174361.1477       2155.1263     -14185.9856      -2151.9721       -973.1124       2155.1263
     1468.74559      1468.72973     165983.7754       2310.5138     -14317.0255      -2151.9721        273.6586       2310.5138
     1468.76642      1468.75056     182012.9417       2213.0092     -20360.3340      -2111.2169      -1072.5335       2213.0092
     1468.78726      1468.77139     108993.6794       2362.0771     -16095.0658      -2111.2169      -1904.6710       2362.0771
     1468.80809      1468.79223     100219.5197       2274.0158     -16870.3484      -2111.2169       2058.2105       2274.0158
     1468.82892      1468.81306     115277.5417       2304.2882     -18711.8678      -2111.2169      -1398.3147       2304.2882
     1468.84976      1468.83389     162182.8244       2117.3753      -4892.0952      -2111.2169      -3679.1065       2117.3753
     1468.87059      1468.85473     195913.5744       2494.8087      -3687.0622      -1904.6710      -4059.3064       2494.8087
     1468.89142      1468.87556     147111.2698       2102.7215      -8103.9775      -1653.2708      -4246.6587       2102.7215
     1468.91226      1468.89639     142794.1169       2020.8449     -11379.3756      -1398.3147      -3763.7180       2020.8449
     1468.93309      1468.91723     154964.9854       2080.5479     -15259.9815      -1369.4294      -4813.9295       2080.5479
     1468.95393      1468.93806     106135.1636       2137.4110      -5413.0772      -1369.4294        831.0331       2137.4110
     1468.97476      1468.95889     201425.0882       2528.5003     -11756.8335      -1369.4294       2080.3294       2528.5003
     1468.99559      1468.97973      87316.4184       2024.1229     -11283.4075      -1366.1020      -2496.0769       2024.1229
     1469.01643      1469.00056     184518.5000       2369.3630      -3336.9147      -1366.1020      -2463.2688       2369.3630
