         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1684.73949      1684.72962      -3725.1156        926.2774       2193.9237       -751.1272       -751.1272        926.2774
     1684.76032      1684.75046       -896.9380        943.7730      -3756.2724       -752.8766       1099.8565        943.7730
     1684.78116      1684.77129        189.8422        931.7528      -3524.6575       -783.6566       -487.0495        931.7528
     1684.80199      1684.79212      -2553.4875        948.2095       -676.1715       -789.6757      -1546.5733        948.2095
     1684.82282      1684.81296       -764.4864        935.5064      -4378.9841       -795.4205        -73.6973        935.5064
     1684.84365      1684.83379      -2860.7781        922.8830      -1216.5159       -795.4205        -73.2990        922.8830
     1684.86449      1684.85462      -1026.2746        993.9016        -79.2659       -803.5436      -1198.8248        993.9016
     1684.88532      1684.87546      -1671.6222        922.0490       -337.5294       -803.5436       -873.7900        922.0490
     1684.90615      1684.89629      -2531.7331        956.1918       -828.5245       -803.5436      -1889.7600        956.1918
     1684.92699      1684.91712        578.1307        944.2339      -1518.2179       -803.5436       -505.0662        944.2339
     1684.94782      1684.93796      -3075.1698        928.0509       1063.2402       -803.5436       -807.3429        928.0509
     1684.96865      1684.95879      -3556.1742        959.3259       2109.3061       -807.3429       -655.1784        959.3259
     1684.98949      1684.97962      -4975.5396        906.3910       3040.3708       -819.9015       -824.3856        906.3910
     1685.01032      1685.00046        757.3701        914.8789       1128.1282       -824.3856        465.6299        914.8789
     1685.03115      1685.02129       1870.9646        908.2896        523.6559       -873.7900       -465.5989        908.2896
     1685.05199      1685.04212      -3991.1056        918.2391       1383.8850       -947.1393       -783.6566        918.2391
     1685.07282      1685.06296      -1909.3671        933.5535      -1039.6148       -947.1393      -1488.5098        933.5535
     1685.09365      1685.08379       -313.4370        893.7702      -1788.4860       -947.1393      -1088.2600        893.7702
     1685.11448      1685.10462       -536.2029        920.6009      -1159.4067       -947.1393       -977.4566        920.6009
     1685.13532      1685.12546      -1179.6094        910.2316       -653.5080       -977.4566       -373.6372        910.2316
     1685.15615      1685.14629      -3298.7079        983.1358       -519.6615       -977.4566      -1546.3469        983.1358
     1685.17698      1685.16712      -1337.4736        983.8872       2348.8991       -977.4566       -712.9675        983.8872
     1685.19782      1685.18796      -3024.4207        990.4361       3344.8499       -947.1393         60.3841        990.4361
     1685.21865      1685.20879      -2496.0115        952.1532      -1447.6737       -873.7900      -1542.4232        952.1532
     1685.23948      1685.22962       -148.0679        939.8127      -2380.3632       -824.3856       -795.4205        939.8127
     1685.26032      1685.25046       -460.8124        952.2383      -1026.2130       -824.3856       -803.5436        952.2383
     1685.28115      1685.27129      -3782.2223        944.3277      -2134.1841       -824.3856      -1351.5155        944.3277
     1685.30198      1685.29212      -2153.7677        930.8616      -1696.2629       -824.3856      -1661.9758        930.8616
     1685.32281      1685.31296      -1552.1251        878.5130       -848.3976       -819.0130      -1249.3463        878.5130
     1685.34365      1685.33379      -4808.0937        959.4173        -76.7497       -824.3856      -1379.5568        959.4173
     1685.36448      1685.35462      -3368.6523        909.8760       -424.7648       -873.7900       -767.0183        909.8760
     1685.38531      1685.37546        -54.2685        892.3117       1484.3310       -873.7900       -519.4820        892.3117
     1685.40615      1685.39629        203.4731        961.1888        191.5238       -947.1393       -476.6760        961.1888
     1685.42698      1685.41712      -1748.8971        880.2202      -2128.5293       -824.3856      -1921.0314        880.2202
     1685.44781      1685.43796      -2545.7295        882.3433       1106.7614       -824.3856      -1157.1389        882.3433
     1685.46865      1685.45879       1420.3683        956.1216        390.0049       -824.3856      -1479.8001        956.1216
     1685.48948      1685.47962      -2041.6131        899.7234       -258.7028       -947.1393      -1068.2453        899.7234
     1685.51031      1685.50046      -1620.1235        913.1755       -185.1689       -947.1393      -1976.5514        913.1755
     1685.53115      1685.52129      -2562.6398        932.1582        750.5976       -947.1393       -947.1393        932.1582
     1685.55198      1685.54212      -3301.4720        901.4101       -710.5361       -947.1393      -1064.0268        901.4101
     1685.57281      1685.56296      -1785.2416        941.0593        370.9769       -947.1393      -1343.2320        941.0593
     1685.59364      1685.58379      -1260.7357        946.7658       3802.8139       -819.0130        -48.4205        946.7658
     1685.61448      1685.60462      -2435.4940        919.8951      -1078.0311       -803.5436       -998.3490        919.8951
     1685.63531      1685.62546       -626.4339        932.3970      -2084.1958       -803.5436        500.8633        932.3970
     1685.65614      1685.64629      -3256.4512        944.4597       -800.7820       -819.0130      -1793.1932        944.4597
     1685.67698      1685.66712          9.3987        950.2531       -102.5674       -819.0130       -175.1508        950.2531
     1685.69781      1685.68796       1573.8227        912.0972       1625.4940       -819.0130        143.9291        912.0972
     1685.71864      1685.70879      -3480.0629        952.7890       1186.1942       -819.0130       -648.1230        952.7890
     1685.73948      1685.72962       1445.8285        946.2901       1391.4796       -803.5436        185.7206        946.2901
     1685.76031      1685.75046      -2349.3154        933.2591       -599.0022       -819.0130       -819.0130        933.2591
     1685.78114      1685.77129        759.9055        929.2885      -1541.5544       -819.0130       -146.1131        929.2885
     1685.80197      1685.79212       -418.1673        940.0720         35.1362       -767.0183       -494.5857        940.0720
     1685.82281      1685.81296      -1465.9489        925.9928       -549.2419       -748.7943      -1403.8238        925.9928
     1685.84364      1685.83379      -3504.8693        950.6272        115.0638       -748.7943      -1420.2005        950.6272
     1685.86447      1685.85462      -3705.7599        962.0018        633.2828       -748.7943      -1259.3284        962.0018
     1685.88531      1685.87546      -2466.7080        960.5838        574.1283       -748.7943      -1191.4516        960.5838
     1685.90614      1685.89629        716.1287        931.5988         54.2573       -748.7943        349.0455        931.5988
     1685.92697      1685.91712      -1505.4787        913.2638       1427.5554       -748.7943       -352.6532        913.2638
     1685.94781      1685.93796      -2498.0916        944.9312       2052.8045       -672.8285        151.0478        944.9312
     1685.96864      1685.95879      -2689.5578        955.1926        -19.4665       -648.1230      -1607.4082        955.1926
     1685.98947      1685.97962        385.8445       1011.0571       1286.0792       -494.5857         48.0078       1011.0571
     1686.01031      1686.00046      -2422.8655       1001.7431       1817.7020       -483.6976       -748.7943       1001.7431
     1686.03114      1686.02129       1648.7679       1006.6350        216.4607       -439.8069        518.4057       1006.6350
     1686.05197      1686.04212      -1709.4933       1005.5972       1117.7603       -352.6532       -483.6976       1005.5972
     1686.07280      1686.06296       -621.4844        945.8780       1942.6696       -340.7705        697.8814        945.8780
     1686.09364      1686.08379       1284.1416        924.2674      -3201.2594       -311.7131        318.3414        924.2674
