#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1326.40747      1326.39645     -56322.9059       1465.7503    -174064.3526      -9495.7330      -2804.5900       2168.7930
     1326.42830      1326.41728     -57891.3763       1474.2103    -180447.2838      -9520.5733     -15436.3455       2190.0839
     1326.44913      1326.43811     -66131.5698       1640.4506    -208044.1383      -9520.5733      -6004.8673       2317.9299
     1326.46997      1326.45895     -60849.1602       1491.9130    -181173.8845      -9495.7330      -9495.7330       2208.6832
     1326.49080      1326.47978     -57019.9081       1490.6666    -172441.1159      -9495.7330     -17037.1394       2208.8272
     1326.51163      1326.50061     -56644.9686       1491.9943    -171817.3668      -9477.6427     -13106.6128       2209.1995
     1326.53247      1326.52145     -62596.0013       1488.9029    -168650.6438      -9477.6427     -13172.4835       2209.5941
     1326.55330      1326.54228     -50683.1706       1504.0803    -173675.8219      -9477.6427     -10531.5633       2231.1942
     1326.57413      1326.56311     -64496.6463       1504.2574    -168343.6112      -9477.6427     -12722.7042       2220.3022
     1326.59497      1326.58394     -63847.7348       1545.7299    -176546.2034      -9477.6427     -15544.4110       2219.9620
     1326.61580      1326.60478     -62858.7942       1542.6651    -171802.2204      -9426.4719     -11222.2185       2213.2137
     1326.63663      1326.62561     -57166.5084       1496.9149    -165325.0066      -9095.6185      -9520.5733       2207.4261
     1326.65747      1326.64644     -64171.2327       1638.0279    -186906.9879      -9021.8600     -15372.0355       2314.2315
     1326.67830      1326.66728     -65148.4249       1622.1395    -179741.3464      -9021.8600      -9907.0112       2290.5174
     1326.69913      1326.68811     -58732.2586       1604.2904    -173006.8817      -9021.8600      -7618.5325       2267.6023
     1326.71997      1326.70894     -63517.6489       1603.2542    -169292.9675      -8993.6986      -5842.1139       2254.6805
     1326.74080      1326.72978     -66422.8355       1592.7146    -164546.6854      -8789.5171      -9095.6185       2230.8134
     1326.76163      1326.75061     -65748.0552       1590.7319    -161447.1064      -8642.9479      -9021.8600       2235.0232
     1326.78247      1326.77144     -74799.1061       1590.5870    -158569.8334      -8642.9479     -10325.4427       2230.0433
     1326.80330      1326.79228     -75156.9355       1583.9302    -155759.8885      -8642.9479     -12588.0251       2220.9476
     1326.82413      1326.81311     -68453.3979       1580.1014    -155822.8747      -8642.9479     -13394.4257       2219.4862
     1326.84497      1326.83394     -66058.7821       1582.5531    -156703.0235      -8428.0782      -7578.4456       2219.5220
