#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1354.11369      1354.10477       4683.8100        965.5874       1079.7735             nan             nan             nan
     1354.13453      1354.12560        993.5817        950.8073       3599.5966             nan             nan             nan
     1354.15536      1354.14643       1815.6073        945.6654       3482.7778             nan             nan             nan
     1354.17620      1354.16727       4512.2428        948.1534        -13.6670             nan             nan             nan
     1354.19703      1354.18810       -492.2724        949.0611       2522.2588             nan             nan             nan
     1354.21786      1354.20893       1262.4132        948.8384       3667.2685             nan             nan             nan
     1354.23870      1354.22977       6756.4256        944.1532        545.8873             nan             nan             nan
     1354.25953      1354.25060       1320.7658        945.7189       3015.4247             nan             nan             nan
     1354.28037      1354.27143       1221.1460        945.5461       2550.1930             nan             nan             nan
     1354.30120      1354.29227       3816.0235        948.0809        515.2282             nan             nan             nan
     1354.32203      1354.31310       3048.5849        952.9582        573.7488             nan             nan             nan
     1354.34287      1354.33393       1803.2613        952.6101       1908.0175             nan             nan             nan
     1354.36370      1354.35477       7463.0511        923.3850        815.1862             nan             nan             nan
     1354.38454      1354.37560       3920.5343        920.7066       -315.4944             nan             nan             nan
     1354.40537      1354.39643       1089.8337        928.6761        934.6688             nan             nan             nan
     1354.42620      1354.41727       2896.1710        930.8981       1481.8129             nan             nan             nan
     1354.44704      1354.43810       4116.0126        933.5112       -263.9873             nan             nan             nan
     1354.46787      1354.45893       1376.5617        933.3050       3254.1486             nan             nan             nan
     1354.48871      1354.47977       4884.3775        933.7559       -790.8716             nan             nan             nan
     1354.50954      1354.50060       1430.4394        952.3028         68.7437             nan             nan             nan
     1354.53037      1354.52143       -137.2110        955.4815       1738.9380             nan             nan             nan
     1354.55121      1354.54227        684.9216        953.5364        687.4852             nan             nan             nan
     1354.57204      1354.56310       1815.8982        954.2897        485.4588             nan             nan             nan
     1354.59288      1354.58393       3789.2811        945.5376        271.7195             nan             nan             nan
     1354.61371      1354.60477        569.3233        948.2908       1108.5081             nan             nan             nan
     1354.63454      1354.62560       2962.8030        948.0056         30.9667             nan             nan             nan
     1354.65538      1354.64643       3500.2194        955.8871         -4.5078             nan             nan             nan
     1354.67621      1354.66727        840.2014        958.1869       1057.6948             nan             nan             nan
     1354.69705      1354.68810        -67.5061        954.7583       2047.1118             nan             nan             nan
     1354.71788      1354.70893       2587.0564        955.3675       1262.6829             nan             nan             nan
     1354.73871      1354.72977       -931.3463        958.7978       -323.0563             nan             nan             nan
     1354.75955      1354.75060       5465.8424        960.1563       1812.2752             nan             nan             nan
     1354.78038      1354.77143        100.9984        957.2811        874.0502             nan             nan             nan
     1354.80122      1354.79227        556.5840        959.2882        -31.9840             nan             nan             nan
     1354.82205      1354.81310       2384.2380        956.4177       2182.9714             nan             nan             nan
     1354.84288      1354.83393      -1906.0595        959.2920       1117.3816             nan             nan             nan
     1354.86372      1354.85477       4553.8855        961.3073       1429.3048             nan             nan             nan
     1354.88455      1354.87560       1607.2111        956.1417        422.4959             nan             nan             nan
     1354.90539      1354.89643      -1394.6090        963.2624       1508.0926             nan             nan             nan
     1354.92622      1354.91727       3744.1484        965.4546        461.0384             nan             nan             nan
     1354.94705      1354.93810       7825.1978        970.6545       -288.1708             nan             nan             nan
     1354.96789      1354.95893        133.0500        960.9208       1526.3591             nan             nan             nan
     1354.98872      1354.97977       4647.5271        969.0924       1570.7401             nan             nan             nan
     1355.00956      1355.00060       3050.8753        961.9082          4.9956             nan             nan             nan
     1355.03039      1355.02143       1588.7643        963.1881       3268.1660             nan             nan             nan
     1355.05122      1355.04227       1080.7009        963.8168       1872.5570             nan             nan             nan
     1355.07206      1355.06310       3375.6132        959.7192        179.4293             nan             nan             nan
     1355.09289      1355.08393       2500.9739        965.1577        -89.5075             nan             nan             nan
     1355.11372      1355.10477       3478.0562        968.6520       1834.8726             nan             nan             nan
     1355.13456      1355.12560       4405.3345        968.2944       1012.6273             nan             nan             nan
     1355.15539      1355.14643       3067.9164        967.8023        701.7369             nan             nan             nan
     1355.17623      1355.16727       1515.3717        968.3945        764.3317             nan             nan             nan
     1355.19706      1355.18810       5240.2386        964.4679      -1012.5666             nan             nan             nan
     1355.21789      1355.20893       5950.9435        963.8172       2388.5205             nan             nan             nan
     1355.23873      1355.22977       6294.0747        969.3419        -13.0071             nan             nan             nan
     1355.25956      1355.25060       4912.8885        966.1609       1275.5127             nan             nan             nan
     1355.28040      1355.27143       1297.1977        961.9902        313.4931             nan             nan             nan
     1355.30123      1355.29227       6735.1047        963.7956        542.8751             nan             nan             nan
     1355.32206      1355.31310       3471.1099        967.4799        343.0445             nan             nan             nan
     1355.34290      1355.33393       4548.5120        962.8117        672.7373             nan             nan             nan
     1355.36373      1355.35477       6223.1133        963.4966        443.8321             nan             nan             nan
     1355.38457      1355.37560       6706.1436        966.4060       -508.6250             nan             nan             nan
     1355.40540      1355.39643       8816.3711        962.9038        771.9174             nan             nan             nan
