sector,type,name
06,Unclassified,2018kih
06,Unclassified,2018knt
06,Unclassified,2018krh
06,Unclassified,2018ksr
06,Unclassified,2018lad
06,Unclassified,2018lml
06,Unclassified,2019rj
06,Unclassified,2018jtv
06,Unclassified,2018kao
06,Unclassified,2018kce
06,Unclassified,2018kig
06,Unclassified,2018kqk
06,Unclassified,2018kqz
06,Unclassified,2018krw
06,Unclassified,2018ksi
06,SNII,2018lab
06,Unclassified,2019gg
06,Unclassified,2018lit
06,Unclassified,2019iy
06,Unclassified,2018kcu
06,SNIa,2018koy
06,Unclassified,2018kvc
06,Unclassified,2018kwo
06,Unclassified,2019ez
06,Unclassified,2019fp
06,Unclassified,2018kbq
06,Unclassified,2018kgg
06,Unclassified,2019jh
06,Unclassified,2018kjp
06,Unclassified,2018kpc
06,Unclassified,2019gb
06,Unclassified,2019kt
06,Unclassified,2018kuo
06,Unclassified,2018kuv
06,Unclassified,2018kvr
06,Unclassified,2019lo
06,SN,2019cj
06,SNIa,2018jwi
06,Unclassified,2018knl
06,FRB,20181228D
06,Unclassified,2018lra
06,Unclassified,2019kh
06,Unclassified,2018jsl
06,Unclassified,2018lmt
06,Unclassified,2019aal
06,Unclassified,2019aam
06,Unclassified,2019um
06,Unclassified,2018kvz
07,Unclassified,2019aen
07,Unclassified,2019tq
07,Unclassified,2019wz
07,Unclassified,2019cgy
07,Unclassified,2019fwt
07,Unclassified,2019gpp
07,Unclassified,2019jcv
07,Unclassified,2019jfd
07,Unclassified,2019aay
07,Unclassified,2019aeu
07,Unclassified,2019ts
07,Unclassified,2019jgh
07,Unclassified,2019jit
07,Unclassified,2019jor
07,Unclassified,2019joy
07,Unclassified,2019jpm
07,Unclassified,2019jpo
07,SNIa,2019aba
07,SNIc,2019abb
07,Unclassified,2019agu
07,Unclassified,2019aci
07,Unclassified,2019alv
07,Unclassified,2019xe
07,Unclassified,2019aih
07,Unclassified,2019abc
07,Unclassified,2019pm
07,Unclassified,2019pv
07,Unclassified,2019aib
07,Unclassified,2019ait
07,Unclassified,2019any
07,SNIa,2019ako
07,Unclassified,2019ajf
07,Unclassified,2019aby
07,Unclassified,2019aaq
07,Unclassified,2019ach
07,Unclassified,2019aeg
07,Unclassified,2019ahk
07,Unclassified,2019aan
07,Unclassified,2019alk
07,Unclassified,2019ank
07,Unclassified,2019anp
07,Unclassified,2019ayz
07,SNIa,2019rm
07,SNIb/c,2019all
08,Unclassified,2019bet
08,Unclassified,2019beu
08,Unclassified,2019caa
08,Unclassified,2019ohj
08,Unclassified,2019apo
08,SNII,2019bcp
08,Unclassified,2019bfz
08,SNIa,2019axj
08,Unclassified,2019aph
08,Unclassified,2019bap
08,SNIa,2019bea
08,Unclassified,2019beb
08,Unclassified,2019jrr
08,Unclassified,2019arw
08,Unclassified,2019bes
08,Unclassified,2019chn
08,Unclassified,2019cjm
08,Unclassified,2019alb
08,Unclassified,2019alj
08,Unclassified,2019alq
08,Unclassified,2019ane
08,Unclassified,2019aqe
08,Unclassified,2019azi
08,Unclassified,2019bcu
08,Unclassified,2019auk
08,Unclassified,2019bgp
08,Unclassified,2019axh
08,Unclassified,2019bgo
08,Unclassified,2019atc
08,Unclassified,2019bca
08,Unclassified,2019bfb
08,Unclassified,2019bfd
08,Unclassified,2019ayy
08,Unclassified,2019bhp
09,SNII,2019bsw
09,SNII,2019bip
09,Unclassified,2019czn
09,Unclassified,2019biq
09,Unclassified,2019boq
09,Unclassified,2019bxl
09,SNIa,2019bxi
09,Unclassified,2019biu
09,Unclassified,2019bnk
09,Unclassified,2019bop
09,Unclassified,2019bxg
09,Unclassified,2019dca
09,Unclassified,2019boo
09,Unclassified,2019bvp
09,Unclassified,2019bwo
09,Unclassified,2019bwu
09,Unclassified,2019cdy
09,Unclassified,2019cix
09,Unclassified,2019cml
09,Unclassified,2019dcj
09,Unclassified,2019txn
09,SNII,2019btk
09,Unclassified,2019box
09,SNIIn,2019bwb
09,Unclassified,2019cjp
09,Unclassified,2019bql
09,Unclassified,2019bqk
09,Unclassified,2019cjz
09,Unclassified,2019cqf
09,FRB,20190322D
10,Unclassified,2019coc
10,Unclassified,2019dfr
10,Unclassified,2019dqg
10,Unclassified,2019dit
10,SNII,2019dke
10,Unclassified,2019cxt
10,Unclassified,2019dzs
10,SNII,2019dhz
10,Unclassified,2019jdb
10,Unclassified,2019ecn
10,Unclassified,2019gvi
10,SNIa,2019dsn
10,Unclassified,2019dng
10,Unclassified,2019dns
10,Unclassified,2019dpz
10,Unclassified,2019cwk
10,Unclassified,2019cos
10,Unclassified,2019crz
10,Unclassified,2019cwr
10,Unclassified,2019dov
10,Unclassified,2019dpd
10,Unclassified,2019dtv
10,Unclassified,2019dbm
10,Unclassified,2019din
10,Unclassified,2019djd
10,Unclassified,2019dji
10,Unclassified,2019dhm
10,Unclassified,2019cmf
10,Unclassified,2019con
10,Unclassified,2019cot
10,Unclassified,2019cou
10,Unclassified,2019cqk
10,Unclassified,2019dut
10,Unclassified,2019dww
10,Unclassified,2019cql
10,Unclassified,2019crw
10,Unclassified,2019crx
10,Unclassified,2019csu
10,Unclassified,2019deo
10,Unclassified,2019cow
10,Unclassified,2019clt
10,Unclassified,2019cmb
10,Unclassified,2019cqi
10,Unclassified,2019clu
10,Unclassified,2019ddc
11,Unclassified,2019ekp
11,Unclassified,2019erz
11,Unclassified,2019esl
11,SNIa,2019ekn
11,Unclassified,2019ekk
11,Unclassified,2019fir
11,Unclassified,2019erf
11,Unclassified,2019fjs
11,Unclassified,2019fqd
11,Unclassified,2019fru
11,Unclassified,2019fwb
11,Unclassified,2019ioz
11,Unclassified,2019iyc
11,SNII,2019fcc
11,Unclassified,2019esm
11,Unclassified,2019fis
11,Unclassified,2019ecv
11,Unclassified,2019dwl
11,Unclassified,2019dzc
11,Unclassified,2019ebe
11,Unclassified,2019edh
11,Unclassified,2019gws
11,Unclassified,2019ebh
11,SNIIn,2019esa
11,Unclassified,2019ehv
11,Unclassified,2019egw
11,CV,2019exu
11,Unclassified,2019ehx
11,Unclassified,2019ehy
12,Unclassified,2019gac
12,SNIb,2019gvp
12,Unclassified,2019kqd
12,Unclassified,2019hit
12,Unclassified,2019hkx
12,Unclassified,2019hmh
12,Unclassified,2019hpg
12,Unclassified,2019hrs
12,Unclassified,2019hsc
12,Unclassified,2019ifd
12,Unclassified,2019hlb
12,SNIa,2019gak
12,Unclassified,2019htx
12,Unclassified,2019hzo
12,Unclassified,2019gdy
12,Unclassified,2019hsl
12,Unclassified,2019hsq
12,Unclassified,2019htm
12,Unclassified,2019htv
12,Unclassified,2019guh
12,Unclassified,2019gvc
12,Unclassified,2019gwq
12,SNII,2019hcn
12,Unclassified,2019gyb
12,Unclassified,2019gzu
12,Unclassified,2019hnp
12,Unclassified,2019gdc
12,Unclassified,2019gdg
12,Unclassified,2019khg
12,SNIa,2019gqv
12,Unclassified,2019kwc
13,Unclassified,2019kvh
13,Unclassified,2019ify
13,Unclassified,2019kag
13,Unclassified,2019ihi
13,Unclassified,2019kll
13,Unclassified,2019hyu
13,Unclassified,2019hvx
13,Unclassified,2019hww
13,Unclassified,2019hzx
13,Unclassified,2019krj
13,Unclassified,2019hzq
13,Unclassified,2019iac
13,Unclassified,2019iar
13,Unclassified,2019ibg
13,Unclassified,2019iio
13,Unclassified,2019lbm
13,CV,2019iiv
13,Unclassified,2019jyj
13,Unclassified,2019lqc
13,Unclassified,2019lqg
13,Unclassified,2019klg
13,Unclassified,2019kli
13,Unclassified,2019llb
13,Unclassified,2019lld
13,Unclassified,2019llg
13,Unclassified,2019lli
13,Unclassified,2019mrx
13,Unclassified,2019llf
13,Unclassified,2019kim
13,Unclassified,2019krd
13,Unclassified,2019kqq
14,CV,2019lls
14,Unclassified,2019mim
14,Unclassified,2019mpq
14,CV,2019mpt
14,Unclassified,2019mqc
14,Unclassified,2019mqz
14,Unclassified,2019msr
14,Unclassified,2019mts
14,Unclassified,2019mtt
14,Unclassified,2019muz
14,Unclassified,2019njy
14,Unclassified,2019muu
14,Unclassified,2019mzo
14,Unclassified,2019ndl
14,Unclassified,2019nfv
14,Unclassified,2019mku
14,Unclassified,2019nil
14,Unclassified,2019njg
14,Unclassified,2019nkq
14,Unclassified,2019nlc
14,Unclassified,2019nld
14,SNII,2019mtz
14,Unclassified,2019muf
14,Unclassified,2019nkr
14,Unclassified,2019mkg
14,Unclassified,2019mmq
14,Unclassified,2019mmt
14,Unclassified,2019mnw
14,Unclassified,2019noc
14,Unclassified,2019lpk
14,Unclassified,2019meb
14,Unclassified,2019mkm
14,Unclassified,2019mma
14,Unclassified,2019mnl
14,Unclassified,2019mnm
14,Unclassified,2019moz
14,Unclassified,2019mqg
14,Unclassified,2019mrm
14,Unclassified,2019nvj
14,SNIa,2019mvj
14,SNIa,2019lsp
14,Unclassified,2019lmf
14,Unclassified,2019lph
14,Unclassified,2019lpw
14,Unclassified,2019lut
14,Unclassified,2019lyd
14,Unclassified,2019mdc
14,Unclassified,2019mdr
14,Unclassified,2019mef
14,Unclassified,2019meg
14,Unclassified,2019men
14,Unclassified,2019mlc
14,Unclassified,2019mnu
14,Unclassified,2019mpe
14,Unclassified,2019mrd
14,Unclassified,2019njr
14,SNIa,2019njx
14,Unclassified,2019nms
14,Unclassified,2019oft
14,SNIa,2019mue
14,Unclassified,2019mzy
14,Unclassified,2019llz
14,Unclassified,2019lym
14,Unclassified,2019maz
14,SNIa,2019mbi
14,Unclassified,2019mkl
14,Unclassified,2019mtm
14,Unclassified,2019mwu
14,SNIa,2019ncd
14,Unclassified,2019lpf
14,Unclassified,2019lul
14,SNIa,2019mdw
14,Unclassified,2019mec
14,Unclassified,2019mkf
14,Unclassified,2019ngn
14,Unclassified,2019ngo
14,Unclassified,2019nnr
14,Unclassified,2019lsf
14,Unclassified,2019lso
14,Unclassified,2019lst
14,Unclassified,2019mba
14,Unclassified,2019mds
14,Unclassified,2019mos
14,Unclassified,2019nfq
14,AGN,2019lrq
14,Unclassified,2019lus
14,Unclassified,2019mdp
14,Unclassified,2019med
14,Unclassified,2019mee
14,Unclassified,2019mgr
14,Unclassified,2019mhv
14,Unclassified,2019mnt
14,Unclassified,2019mnv
14,Unclassified,2019mrl
14,Unclassified,2019ofn
14,Unclassified,2019lru
14,Unclassified,2019luq
14,Unclassified,2019mhx
14,Unclassified,2019mjc
14,SNIa,2019mrg
14,Unclassified,2019nng
14,Unclassified,2019lrs
14,Unclassified,2019mdq
14,Unclassified,2019mrf
14,Unclassified,2019lmi
14,Unclassified,2019lpr
14,SNII,2019lqo
14,Unclassified,2019lrx
14,Unclassified,2019mah
15,SNII,2019nud
15,Unclassified,2019oug
15,Unclassified,2019ouk
15,Unclassified,2019oyk
15,Unclassified,2019ouw
15,Unclassified,2019osx
15,Unclassified,2019pgi
15,Unclassified,2019pxv
15,Unclassified,2019pzj
15,Unclassified,2019pzq
15,Unclassified,2019aadl
15,SNIa,2019pdx
15,Unclassified,2019nwu
15,Unclassified,2019oxo
15,Unclassified,2019pgp
15,SNIb,2019pfb
15,SNIa,2019pkz
15,Unclassified,2019poz
15,Unclassified,2019pqm
15,Unclassified,2019prx
15,SNIa,2019pnw
15,SNIbn,2019php
15,Unclassified,2019pmu
15,Unclassified,2019nvl
15,Unclassified,2019nxb
15,Unclassified,2019nzq
15,Unclassified,2019osv
15,Unclassified,2019osz
15,Unclassified,2019ozf
15,Unclassified,2019pco
15,Unclassified,2019pct
15,Unclassified,2019pim
15,Unclassified,2019pjm
15,Unclassified,2019pmr
15,Unclassified,2019qck
15,SNIa,2019prw
15,SNII,2019oba
15,Unclassified,2019oxg
15,Unclassified,2019oye
15,Unclassified,2019pai
15,Unclassified,2019pcy
15,Unclassified,2019pho
15,Unclassified,2019pjk
15,Unclassified,2019pla
15,SNIa,2019ptv
15,Unclassified,2019pvv
15,Unclassified,2019pwa
15,Unclassified,2019pzn
15,SNIa,2019ozu
15,Unclassified,2019pxx
15,SNIa,2019nql
15,Unclassified,2019nvk
15,SNII,2019nvm
15,Unclassified,2019omq
15,Unclassified,2019oqb
15,Unclassified,2019ord
15,Unclassified,2019qgj
15,Unclassified,2019nof
15,Unclassified,2019nzp
15,Unclassified,2019oon
15,Unclassified,2019opq
15,Unclassified,2019oqc
15,Unclassified,2019ovl
15,Unclassified,2019ozh
15,Unclassified,2019pat
15,Unclassified,2019pju
15,Unclassified,2019pms
15,Unclassified,2019pmt
15,SNIa,2019pny
15,Unclassified,2019phm
15,Unclassified,2019nty
15,Unclassified,2019ntz
15,Unclassified,2019ows
15,Unclassified,2019pau
15,Unclassified,2019aaas
15,Unclassified,2019nqn
15,Unclassified,2019nvw
15,Unclassified,2019nxp
15,Unclassified,2019nyo
15,Unclassified,2019oda
15,Unclassified,2019opz
15,Unclassified,2019osp
15,Unclassified,2019owy
15,Unclassified,2019ozg
15,SNIIn,2019pgu
15,Unclassified,2019nyf
15,Unclassified,2019ook
15,Unclassified,2019ovh
15,Unclassified,2019prs
15,Unclassified,2019ptg
15,Unclassified,2019prm
15,Unclassified,2019qql
15,Unclassified,2019pnp
15,Unclassified,2019pqv
15,Unclassified,2019nwz
15,Unclassified,2019obp
15,Unclassified,2019onn
15,Unclassified,2019ooj
15,Unclassified,2019otr
15,Unclassified,2019pac
15,Unclassified,2019ptf
15,Unclassified,2019pwd
15,Unclassified,2019pwq
15,Unclassified,2019pwr
16,Unclassified,2019rdl
16,Unclassified,2019rdp
16,Unclassified,2019rwg
16,Unclassified,2019sbi
16,Unclassified,2019sbx
16,Unclassified,2019sbz
16,Unclassified,2019qmv
16,Unclassified,2019qwf
16,Unclassified,2019rqu
16,Unclassified,2019sfx
16,Unclassified,2019qgh
16,Unclassified,2019qty
16,Unclassified,2019qwl
16,Unclassified,2019rqf
16,Unclassified,2019rug
16,Unclassified,2019sdl
16,Unclassified,2019qey
16,Unclassified,2019qqk
16,Unclassified,2019qvi
16,Unclassified,2019ria
16,CV,2019saz
16,Unclassified,2019sej
16,SNIa,2019qwi
16,Unclassified,2019qcu
16,Unclassified,2019qew
16,Unclassified,2019qoj
16,Unclassified,2019rhy
16,Unclassified,2019rle
16,Unclassified,2019rvh
16,Unclassified,2019qhh
16,SNIa,2019qmm
16,Unclassified,2019qwj
16,Unclassified,2019rie
16,Unclassified,2019ris
16,Unclassified,2019rqa
16,Unclassified,2019zuz
16,Unclassified,2019rwh
16,Unclassified,2019sgb
16,Unclassified,2019ryj
16,Unclassified,2019sbu
16,Unclassified,2019sic
16,Unclassified,2019qdh
16,Unclassified,2019qgx
16,Unclassified,2019qib
16,Unclassified,2019qkf
16,Unclassified,2019qpm
16,Unclassified,2019qrh
16,Unclassified,2019rid
16,Unclassified,2019rmp
16,Unclassified,2019rpy
16,Unclassified,2019rpz
16,Unclassified,2019rqg
16,Unclassified,2019zvd
16,Unclassified,2019zvo
16,Unclassified,2019qdi
16,Unclassified,2019qdm
16,Unclassified,2019qhg
16,Unclassified,2019qjh
16,Unclassified,2019rhv
16,SNII,2019pzt
16,Unclassified,2019qbs
16,Unclassified,2019qqs
16,Unclassified,2019qtw
16,Unclassified,2019qyb
16,Unclassified,2019qyc
16,Unclassified,2019rhl
16,Unclassified,2019sap
16,Unclassified,2019sdp
16,SNIa,2019rqd
16,SNIa,2019rrc
16,Unclassified,2019qcw
16,Unclassified,2019qmt
16,Unclassified,2019qpc
16,Unclassified,2019qpx
16,Unclassified,2019ruf
16,Unclassified,2019zvn
16,Unclassified,2019rex
16,Unclassified,2019rrd
16,Unclassified,2019rre
16,SNIa,2019qsc
16,Unclassified,2019zvm
16,Unclassified,2019ruc
16,Unclassified,2019qxo
16,Unclassified,2019qqr
16,Unclassified,2019rvx
17,Unclassified,2019sep
17,Unclassified,2019svj
17,Unclassified,2019svm
17,Unclassified,2019swt
17,Unclassified,2019sxa
17,Unclassified,2019sxt
17,Unclassified,2019tac
17,Unclassified,2019tbd
17,Unclassified,2019tgo
17,Unclassified,2019tll
17,Unclassified,2019tlp
17,Unclassified,2019tnf
17,Unclassified,2019vye
17,Unclassified,2019aadv
17,Unclassified,2019tun
17,Unclassified,2019sgq
17,Unclassified,2019sih
17,Unclassified,2019sqf
17,Unclassified,2019stn
17,Unclassified,2019str
17,Unclassified,2019svl
17,Unclassified,2019sxq
17,SNII,2019tjt
17,SNIa-91T-like,2019tju
17,Unclassified,2019tsl
17,Unclassified,2019ugs
17,Unclassified,2019xsu
17,Unclassified,2019xyo
17,Unclassified,2019yex
17,Unclassified,2019zuu
17,Unclassified,2019zuw
17,Unclassified,2019sws
17,Unclassified,2019sxr
17,Unclassified,2019sje
17,Unclassified,2019slp
17,Unclassified,2019sme
17,Unclassified,2019soi
17,Unclassified,2019soj
17,Unclassified,2019sqm
17,Unclassified,2019syq
17,Unclassified,2019tdi
17,Unclassified,2019til
17,Unclassified,2019tlk
17,Unclassified,2019tsm
17,Unclassified,2019unc
17,Unclassified,2019xod
17,Unclassified,2019xon
17,Unclassified,2019xrx
17,Unclassified,2019xzi
17,Unclassified,2019zxc
17,Unclassified,2019sho
17,Unclassified,2019svn
17,Unclassified,2019swx
17,SNIa,2019sqj
17,SNIa,2019sql
17,Unclassified,2019tgx
17,Unclassified,2019tlo
17,Unclassified,2019trl
17,Unclassified,2019uzr
17,Unclassified,2019vwo
17,Unclassified,2019vxd
17,Unclassified,2019xtb
17,Unclassified,2019yas
17,Unclassified,2019src
17,Unclassified,2019sta
17,Unclassified,2019tfu
17,Unclassified,2019tgj
17,Unclassified,2019tsn
17,Unclassified,2019slj
17,Unclassified,2019slt
17,Unclassified,2019sop
17,Unclassified,2019sqn
17,Unclassified,2019sxs
17,Unclassified,2019tae
17,Unclassified,2019tat
17,Unclassified,2019tjl
17,SNIa,2019soh
17,Unclassified,2019tjr
17,Unclassified,2019tjs
17,Unclassified,2019uag
17,SNIa,2019ugv
17,Unclassified,2019xkf
17,Unclassified,2019yos
17,Unclassified,2019yot
17,Unclassified,2019zxd
17,Unclassified,2019sgu
17,Unclassified,2019sig
17,Unclassified,2019skx
17,Unclassified,2019slh
17,Unclassified,2019sqo
17,Unclassified,2019stj
17,Unclassified,2019svi
17,Unclassified,2019sxc
17,Unclassified,2019tfd
17,Unclassified,2019thz
17,Unclassified,2019tsc
17,Unclassified,2019tsp
17,Unclassified,2019tta
17,CV,2019tlu
17,Unclassified,2019tov
17,Unclassified,2019tvu
17,Unclassified,2019sld
17,Unclassified,2019ssf
17,Unclassified,2019tng
17,Unclassified,2019tsw
17,Unclassified,2019ssx
17,Unclassified,2019sxe
17,Unclassified,2019tjx
17,Unclassified,2019tjy
17,Unclassified,2019sgv
17,Unclassified,2019skg
17,Unclassified,2019sos
17,Unclassified,2019sxb
17,Unclassified,2019tsx
17,Unclassified,2019ttb
17,SNIa,2019tst
17,Unclassified,2019zux
17,SNIa,2019tka
17,Unclassified,2019snw
17,Unclassified,2019spn
17,Unclassified,2019swy
17,Unclassified,2019tbg
17,Unclassified,2019tbh
17,SNIa,2019tfa
17,Unclassified,2019tmw
17,Unclassified,2019tsq
17,Unclassified,2019tsv
17,Unclassified,2019tsz
17,SNIa,2019syl
17,Unclassified,2019vzk
17,Unclassified,2019zut
17,Unclassified,2019zxp
17,Unclassified,2019zzp
17,Unclassified,2019sse
17,SNIa,2019smf
17,Unclassified,2019sts
17,Unclassified,2019sij
17,Unclassified,2019svo
17,Unclassified,2019syr
17,Unclassified,2019thj
17,Unclassified,2019tjw
17,Unclassified,2019tsu
17,Unclassified,2019tsy
17,Unclassified,2019tum
17,SNIa,2019sqk
17,SNIa,2019tjz
17,Unclassified,2019ump
18,Unclassified,2019tyu
18,Unclassified,2019ubi
18,Unclassified,2019uca
18,Unclassified,2019udl
18,Unclassified,2019uga
18,Unclassified,2019uge
18,Unclassified,2019ujq
18,SNIa,2019ulr
18,Unclassified,2019vby
18,Unclassified,2019ufu
18,Unclassified,2019ufy
18,Unclassified,2019ugz
18,Unclassified,2019uip
18,Unclassified,2019ukb
18,Unclassified,2019ukd
18,Unclassified,2019ulv
18,SNIa,2019ulw
18,Unclassified,2019uyn
18,Unclassified,2019vmm
18,Unclassified,2019vrh
18,Unclassified,2019vyb
18,Unclassified,2019vyf
18,Unclassified,2019vzx
18,Unclassified,2019yrj
18,Unclassified,2019yuv
18,Unclassified,2019uaj
18,Unclassified,2019ubd
18,SNIa,2019ubs
18,Unclassified,2019ufz
18,Unclassified,2019ujg
18,Unclassified,2019ujt
18,Unclassified,2019ule
18,Unclassified,2019uxk
18,Unclassified,2019yqn
18,Unclassified,2019yux
18,Unclassified,2019tyv
18,Unclassified,2019ubf
18,Unclassified,2019udn
18,SNIa,2019uen
18,Unclassified,2019ugy
18,Unclassified,2019ukv
18,Unclassified,2019unq
18,Unclassified,2019vbi
18,Unclassified,2019vbj
18,Unclassified,2019ymu
18,Unclassified,2019wbh
18,Unclassified,2019uwk
18,Unclassified,2019vkn
18,Unclassified,2019vyi
18,Unclassified,2019uem
18,Unclassified,2019vyx
18,SNIa,2019uwp
18,Unclassified,2019umq
18,Unclassified,2019ugb
18,Unclassified,2019uwj
18,Unclassified,2019vyk
18,Unclassified,2019uyr
18,Unclassified,2019val
18,Unclassified,2019vde
18,Unclassified,2019wbo
18,Unclassified,2019vzy
18,Unclassified,2019uje
18,Unclassified,2019vcz
18,Unclassified,2019vyj
18,Unclassified,2019vzi
18,SNIa-91T-like,2019ugr
18,Unclassified,2019vda
18,Unclassified,2019vli
18,Unclassified,2019zyi
18,Unclassified,2019ujw
18,Unclassified,2019vjv
18,Unclassified,2019vlt
18,Unclassified,2019vlu
18,Unclassified,2019vma
18,Unclassified,2019vmb
18,Unclassified,2019vmc
18,Unclassified,2019xmr
18,Unclassified,2019aaef
19,Unclassified,2019xcx
19,Unclassified,2019whd
19,Unclassified,2019wio
19,Unclassified,2019wbr
19,Unclassified,2019wjj
19,Unclassified,2019wkz
19,Unclassified,2019wuu
19,Unclassified,2019wve
19,Unclassified,2019xcn
19,Unclassified,2019xdl
19,Unclassified,2019wda
19,Unclassified,2019xao
19,Unclassified,2019wwo
19,Unclassified,2019wey
19,Unclassified,2019wmw
19,Mdwarf,2019xtf
19,Unclassified,2019wrr
19,Unclassified,2019wbk
19,Unclassified,2019wbl
19,Unclassified,2019wim
19,Unclassified,2019wxp
19,Unclassified,2019wvo
19,Unclassified,2019xar
19,SNIa,2019wla
19,SNIa,2019xhk
19,SNIa,2019wjl
19,Unclassified,2019xat
19,SNIa,2019wle
19,SLSN-I,2019xaq
19,Unclassified,2019wnu
19,Unclassified,2019vzv
19,Unclassified,2019xip
19,Unclassified,2019vuj
