Sector,Type,Name,Link
01,SNII,2018fgb,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fgb_cleaned.png
01,SNII,2018emt,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018emt_cleaned.png
01,SNII,2018eph,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eph_cleaned.png
03,SNII,2018gxi,https://tess.mit.edu/public/tesstransients/images/sector03/lc_2018gxi_cleaned.png
03,SNII,2018hgl,https://tess.mit.edu/public/tesstransients/images/sector03/lc_2018hgl_cleaned.png
06,SNII,2018lab,https://tess.mit.edu/public/tesstransients/images/sector06/lc_2018lab_cleaned.png
08,SNII,2019bcp,https://tess.mit.edu/public/tesstransients/images/sector08/lc_2019bcp_cleaned.png
09,SNII,2019bsw,https://tess.mit.edu/public/tesstransients/images/sector09/lc_2019bsw_cleaned.png
09,SNII,2019bip,https://tess.mit.edu/public/tesstransients/images/sector09/lc_2019bip_cleaned.png
09,SNII,2019btk,https://tess.mit.edu/public/tesstransients/images/sector09/lc_2019btk_cleaned.png
09,SNIIn,2019bwb,https://tess.mit.edu/public/tesstransients/images/sector09/lc_2019bwb_cleaned.png
10,SNII,2019dke,https://tess.mit.edu/public/tesstransients/images/sector10/lc_2019dke_cleaned.png
10,SNII,2019dhz,https://tess.mit.edu/public/tesstransients/images/sector10/lc_2019dhz_cleaned.png
11,SNII,2019fcc,https://tess.mit.edu/public/tesstransients/images/sector11/lc_2019fcc_cleaned.png
11,SNIIn,2019esa,https://tess.mit.edu/public/tesstransients/images/sector11/lc_2019esa_cleaned.png
12,SNII,2019hcn,https://tess.mit.edu/public/tesstransients/images/sector12/lc_2019hcn_cleaned.png
14,SNII,2019mtz,https://tess.mit.edu/public/tesstransients/images/sector14/lc_2019mtz_cleaned.png
14,SNII,2019lqo,https://tess.mit.edu/public/tesstransients/images/sector14/lc_2019lqo_cleaned.png
15,SNII,2019nud,https://tess.mit.edu/public/tesstransients/images/sector15/lc_2019nud_cleaned.png
15,SNII,2019oba,https://tess.mit.edu/public/tesstransients/images/sector15/lc_2019oba_cleaned.png
15,SNII,2019nvm,https://tess.mit.edu/public/tesstransients/images/sector15/lc_2019nvm_cleaned.png
15,SNIIn,2019pgu,https://tess.mit.edu/public/tesstransients/images/sector15/lc_2019pgu_cleaned.png
16,SNII,2019pzt,https://tess.mit.edu/public/tesstransients/images/sector16/lc_2019pzt_cleaned.png
17,SNII,2019tjt,https://tess.mit.edu/public/tesstransients/images/sector17/lc_2019tjt_cleaned.png
20,SNII,2020by,https://tess.mit.edu/public/tesstransients/images/sector20/lc_2020by_cleaned.png
20,SNII,2020aem,https://tess.mit.edu/public/tesstransients/images/sector20/lc_2020aem_cleaned.png
21,SNII,2020chm,https://tess.mit.edu/public/tesstransients/images/sector21/lc_2020chm_cleaned.png
21,SNII,2020amv,https://tess.mit.edu/public/tesstransients/images/sector21/lc_2020amv_cleaned.png
21,SNIIb,2020aok,https://tess.mit.edu/public/tesstransients/images/sector21/lc_2020aok_cleaned.png
22,SNII,2020dcx,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020dcx_cleaned.png
22,SNII,2020dyu,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020dyu_cleaned.png
22,SNIIn,2020dcs,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020dcs_cleaned.png
22,SNIIn,2020dtd,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020dtd_cleaned.png
22,SNII,2020dya,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020dya_cleaned.png
22,SNII,2020cxd,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020cxd_cleaned.png
22,SNII,2020gpe,https://tess.mit.edu/public/tesstransients/images/sector22/lc_2020gpe_cleaned.png
23,SNII,2020fbj,https://tess.mit.edu/public/tesstransients/images/sector23/lc_2020fbj_cleaned.png
23,SNIIb,2020fqv,https://tess.mit.edu/public/tesstransients/images/sector23/lc_2020fqv_cleaned.png
23,SNII,2020hgw,https://tess.mit.edu/public/tesstransients/images/sector23/lc_2020hgw_cleaned.png
23,SNII,2020gam,https://tess.mit.edu/public/tesstransients/images/sector23/lc_2020gam_cleaned.png
23,SNII,2020fcx,https://tess.mit.edu/public/tesstransients/images/sector23/lc_2020fcx_cleaned.png
24,SNIIb,2020ivg,https://tess.mit.edu/public/tesstransients/images/sector24/lc_2020ivg_cleaned.png
24,SNII,2020hln,https://tess.mit.edu/public/tesstransients/images/sector24/lc_2020hln_cleaned.png
24,SNII,2020ifv,https://tess.mit.edu/public/tesstransients/images/sector24/lc_2020ifv_cleaned.png
25,SNII,2020jww,https://tess.mit.edu/public/tesstransients/images/sector25/lc_2020jww_cleaned.png
25,SNII,2020lfn,https://tess.mit.edu/public/tesstransients/images/sector25/lc_2020lfn_cleaned.png
25,SNII,2020koc,https://tess.mit.edu/public/tesstransients/images/sector25/lc_2020koc_cleaned.png
25,SNII,2020kjt,https://tess.mit.edu/public/tesstransients/images/sector25/lc_2020kjt_cleaned.png
26,SNII,2020mst,https://tess.mit.edu/public/tesstransients/images/sector26/lc_2020mst_cleaned.png
26,SNII,2020nyb,https://tess.mit.edu/public/tesstransients/images/sector26/lc_2020nyb_cleaned.png
27,SNII,2020ppi,https://tess.mit.edu/public/tesstransients/images/sector27/lc_2020ppi_cleaned.png
30,SNII,2020uwl,https://tess.mit.edu/public/tesstransients/images/sector30/lc_2020uwl_cleaned.png
30,SNII,2020uzx,https://tess.mit.edu/public/tesstransients/images/sector30/lc_2020uzx_cleaned.png
30,SNII,2020uve,https://tess.mit.edu/public/tesstransients/images/sector30/lc_2020uve_cleaned.png
30,SNII,2020vcp,https://tess.mit.edu/public/tesstransients/images/sector30/lc_2020vcp_cleaned.png
31,SNII,2020ykb,https://tess.mit.edu/public/tesstransients/images/sector31/lc_2020ykb_cleaned.png
31,SNIIP,2020zbv,https://tess.mit.edu/public/tesstransients/images/sector31/lc_2020zbv_cleaned.png
31,SNII,2020yzo,https://tess.mit.edu/public/tesstransients/images/sector31/lc_2020yzo_cleaned.png
32,SNII,2020aczd,https://tess.mit.edu/public/tesstransients/images/sector32/lc_2020aczd_cleaned.png
32,SNII,2020aatb,https://tess.mit.edu/public/tesstransients/images/sector32/lc_2020aatb_cleaned.png
32,SNII-pec,2020acmr,https://tess.mit.edu/public/tesstransients/images/sector32/lc_2020acmr_cleaned.png
33,SNII,2021nf,https://tess.mit.edu/public/tesstransients/images/sector33/lc_2021nf_cleaned.png
34,SNIIn,2021bxo,https://tess.mit.edu/public/tesstransients/images/sector34/lc_2021bxo_cleaned.png
34,SNII,2021bmc,https://tess.mit.edu/public/tesstransients/images/sector34/lc_2021bmc_cleaned.png
35,SNII,2021dbg,https://tess.mit.edu/public/tesstransients/images/sector35/lc_2021dbg_cleaned.png
37,SNII,2021ijh,https://tess.mit.edu/public/tesstransients/images/sector37/lc_2021ijh_cleaned.png
37,SNIIn,2021jbi,https://tess.mit.edu/public/tesstransients/images/sector37/lc_2021jbi_cleaned.png
38,SNII,2021ltk,https://tess.mit.edu/public/tesstransients/images/sector38/lc_2021ltk_cleaned.png
40,SNIIn,2021vma,https://tess.mit.edu/public/tesstransients/images/sector40/lc_2021vma_cleaned.png
40,SNII,2021uuz,https://tess.mit.edu/public/tesstransients/images/sector40/lc_2021uuz_cleaned.png
40,SNII,2021tmb,https://tess.mit.edu/public/tesstransients/images/sector40/lc_2021tmb_cleaned.png
42,SNIIn,2021yyy,https://tess.mit.edu/public/tesstransients/images/sector42/lc_2021yyy_cleaned.png
42,SNIIn,2021wly,https://tess.mit.edu/public/tesstransients/images/sector42/lc_2021wly_cleaned.png
42,SNII,2021yke,https://tess.mit.edu/public/tesstransients/images/sector42/lc_2021yke_cleaned.png
42,SNII,2021yfi,https://tess.mit.edu/public/tesstransients/images/sector42/lc_2021yfi_cleaned.png
42,SNII,2021xhq,https://tess.mit.edu/public/tesstransients/images/sector42/lc_2021xhq_cleaned.png
42,SNIIn,2021yaz,https://tess.mit.edu/public/tesstransients/images/sector42/lc_2021yaz_cleaned.png
43,SNII,2021aaev,https://tess.mit.edu/public/tesstransients/images/sector43/lc_2021aaev_cleaned.png
43,SNII,2021aatd,https://tess.mit.edu/public/tesstransients/images/sector43/lc_2021aatd_cleaned.png
43,SNII,2021zby,https://tess.mit.edu/public/tesstransients/images/sector43/lc_2021zby_cleaned.png
43,SNII,2021zex,https://tess.mit.edu/public/tesstransients/images/sector43/lc_2021zex_cleaned.png
43,SNII,2021zco,https://tess.mit.edu/public/tesstransients/images/sector43/lc_2021zco_cleaned.png
43,SNIIn,2021abbv,https://tess.mit.edu/public/tesstransients/images/sector43/lc_2021abbv_cleaned.png
44,SNII,2021abkh,https://tess.mit.edu/public/tesstransients/images/sector44/lc_2021abkh_cleaned.png
44,SNII,2021abyl,https://tess.mit.edu/public/tesstransients/images/sector44/lc_2021abyl_cleaned.png
44,SNII,2021aboj,https://tess.mit.edu/public/tesstransients/images/sector44/lc_2021aboj_cleaned.png
46,SNIIn,2021agji,https://tess.mit.edu/public/tesstransients/images/sector46/lc_2021agji_cleaned.png
46,SNII,2021agfq,https://tess.mit.edu/public/tesstransients/images/sector46/lc_2021agfq_cleaned.png
