Sector,Type,Name,Link
01,Unclassified,2018exg,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018exg_cleaned.png
01,Unclassified,2018esp,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018esp_cleaned.png
01,Unclassified,2018esw,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018esw_cleaned.png
01,Unclassified,2018ewp,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018ewp_cleaned.png
01,Unclassified,2018ezk,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018ezk_cleaned.png
01,Unclassified,2018fkr,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fkr_cleaned.png
01,Unclassified,2018gau,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018gau_cleaned.png
01,Unclassified,2018gby,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018gby_cleaned.png
01,Unclassified,2018gnj,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018gnj_cleaned.png
01,Unclassified,2018gon,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018gon_cleaned.png
01,Unclassified,2018hyq,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018hyq_cleaned.png
01,Unclassified,2018ewj,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018ewj_cleaned.png
01,Unclassified,2018goa,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018goa_cleaned.png
01,Unclassified,2018eny,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eny_cleaned.png
01,Unclassified,2018eqo,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eqo_cleaned.png
01,Unclassified,2018fln,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fln_cleaned.png
01,Unclassified,2018eoc,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eoc_cleaned.png
01,Unclassified,2018eel,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eel_cleaned.png
01,Unclassified,2018fbm,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fbm_cleaned.png
01,Unclassified,2018fdw,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fdw_cleaned.png
01,Unclassified,2018flj,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018flj_cleaned.png
01,Unclassified,2018flq,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018flq_cleaned.png
01,Unclassified,2018flr,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018flr_cleaned.png
01,Unclassified,2018flz,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018flz_cleaned.png
01,Unclassified,2018eoa,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eoa_cleaned.png
01,Unclassified,2018eqz,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018eqz_cleaned.png
01,Unclassified,2018fej,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fej_cleaned.png
01,Unclassified,2018fek,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fek_cleaned.png
01,Unclassified,2018fen,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fen_cleaned.png
01,Unclassified,2018fhs,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fhs_cleaned.png
01,Unclassified,2018fll,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fll_cleaned.png
01,Unclassified,2018flt,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018flt_cleaned.png
01,Unclassified,2018fmg,https://tess.mit.edu/public/tesstransients/images/sector01/lc_2018fmg_cleaned.png
02,Unclassified,2018fwk,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fwk_cleaned.png
02,Unclassified,2018gku,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gku_cleaned.png
02,Unclassified,2018gsz,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gsz_cleaned.png
02,Unclassified,2018ftf,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018ftf_cleaned.png
02,Unclassified,2018fwd,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fwd_cleaned.png
02,Unclassified,2018fwm,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fwm_cleaned.png
02,Unclassified,2018fwr,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fwr_cleaned.png
02,Unclassified,2018lyo,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018lyo_cleaned.png
02,Unclassified,2018gfj,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gfj_cleaned.png
02,Unclassified,2018gfa,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gfa_cleaned.png
02,Unclassified,2018gfk,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gfk_cleaned.png
02,Unclassified,2018ghg,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018ghg_cleaned.png
02,Unclassified,2018glp,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018glp_cleaned.png
02,Unclassified,2018glw,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018glw_cleaned.png
02,Unclassified,2018gez,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gez_cleaned.png
02,Unclassified,2018glv,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018glv_cleaned.png
02,Unclassified,2018fxi,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fxi_cleaned.png
02,Unclassified,2018ghf,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018ghf_cleaned.png
02,Unclassified,2018glq,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018glq_cleaned.png
02,Unclassified,2018fmm,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fmm_cleaned.png
02,Unclassified,2018fxl,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fxl_cleaned.png
02,Unclassified,2018gey,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gey_cleaned.png
02,Unclassified,2018fns,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fns_cleaned.png
02,Unclassified,2018gch,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gch_cleaned.png
02,Unclassified,2018gsg,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018gsg_cleaned.png
02,Unclassified,2018fmn,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fmn_cleaned.png
02,Unclassified,2018fxj,https://tess.mit.edu/public/tesstransients/images/sector02/lc_2018fxj_cleaned.png
