#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1764.69886      1764.68792       7157.9233       1261.1981      -3404.6358        671.0669       3273.6654       1261.1981
     1764.71969      1764.70875       3559.3318       1263.3021      -5364.3619        932.8957       2543.2649       1263.3021
     1764.74052      1764.72958       1440.9138       1260.6953      -3415.6615        932.8957        145.8235       1260.6953
     1764.76135      1764.75042       3159.2105       1253.9030      -4961.6893        932.8957       1131.8649       1253.9030
     1764.78218      1764.77125       2206.1841       1255.9357      -1807.8263       1131.8649        932.8957       1255.9357
     1764.80301      1764.79208       6298.7181       1258.9579      -2937.4344        978.7697       3420.8977       1258.9579
     1764.82384      1764.81292        761.7102       1262.9771      -4067.6386        978.7697      -1743.3862       1262.9771
     1764.84468      1764.83375       3131.6192       1258.4227      -2577.9147        978.7697       1193.5078       1258.4227
     1764.86551      1764.85458       6318.9059       1259.4557      -4810.2371        978.7697       2264.5803       1259.4557
     1764.88634      1764.87542       4407.1664       1262.1991      -3133.7777        978.7697       1642.4952       1262.1991
     1764.90717      1764.89625       1833.6851       1278.5902      -2684.8160       1131.8649       2489.8932       1278.5902
     1764.92800      1764.91708       -236.2962       1250.6103      -2754.3153       1131.8649       1227.6458       1250.6103
     1764.94883      1764.93792       -543.5397       1254.5332      -2502.0223       1131.8649        -59.8938       1254.5332
     1764.96966      1764.95875       1896.5261       1262.9701      -2878.3005       1131.8649        470.2007       1262.9701
     1764.99049      1764.97958       1825.9979       1267.3135      -2870.1835       1131.8649        187.4183       1267.3135
     1765.01133      1765.00042      -1677.2192       1254.0640      -2189.4126       1131.8649      -2070.3391       1254.0640
     1765.03216      1765.02125       1791.5593       1267.8903      -1432.0780       1131.8649        671.0669       1267.8903
     1765.05299      1765.04208       3880.9755       1288.7194      -2765.6044        978.7697       -245.9036       1288.7194
     1765.07382      1765.06292        571.6922       1212.1315      -2502.4516       1092.4875         43.6271       1212.1315
     1765.09465      1765.08375       3825.0415       1256.9558      -2788.2479       1092.4875       1278.6323       1256.9558
     1765.11548      1765.10458      -1456.8968       1207.9911      -1000.9983       1092.4875       -912.2383       1207.9911
     1765.13631      1765.12542       -289.0000       1216.2936       -940.3513       1056.3821       -610.6967       1216.2936
     1765.15714      1765.14625       5229.3016       1206.2255      -1605.7730       1056.3821       4560.0333       1206.2255
