         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     2307.24520      2307.23629      41833.7736          8.7678       9130.0886        248.3530      -3414.9906          8.7678
     2307.25214      2307.24323      81507.2318       1802.2118    -310620.0650        559.5599      16915.7851       1802.2118
     2307.30770      2307.29879       -725.5124       1684.2698     -27244.8153        559.5599      -3210.4590       1684.2698
     2307.31464      2307.30573       3371.9904       1699.0103     -22921.2258        874.4570       -949.3677       1699.0103
     2307.32159      2307.31268       2300.4792       1686.1524     -15408.7967        790.2054       3197.0657       1686.1524
     2307.32853      2307.31962       5931.4081       1700.9651     -24326.8725        790.2054       1408.0966       1700.9651
     2307.33547      2307.32657       7580.5223       1690.2110     -22072.5031        790.2054       2975.8656       1690.2110
     2307.34242      2307.33351       1952.8250       1699.5251     -25471.7209        874.4570        992.8016       1699.5251
     2307.34936      2307.34046       2512.9187       1684.8297     -22764.6686        790.2054       -204.8267       1684.8297
     2307.35631      2307.34740       5538.6068       1685.3065     -23177.3819        874.4570       2466.0623       1685.3065
     2307.36325      2307.35435       3983.2887       1678.0873     -22708.2642        874.4570       -813.4329       1678.0873
     2307.37020      2307.36129       6529.8969       1699.0722     -19195.9356        874.4570       2675.4178       1699.0722
     2307.37714      2307.36823       3824.6771       1686.0236     -20365.5018        790.2054       1235.2739       1686.0236
     2307.38409      2307.37518       1601.4630       1683.8390     -19296.2119        559.5599        874.4570       1683.8390
     2307.39103      2307.38212       4886.6118       1698.5403     -18057.9718        790.2054        248.3530       1698.5403
     2307.39798      2307.38907       -481.6082       1684.2329     -16265.6116        575.3819       -523.1537       1684.2329
     2307.40492      2307.39601       5308.9435       1684.8525     -19873.2343        575.3819       2106.4138       1684.8525
     2307.41186      2307.40296       4372.1004       1680.4990     -17538.8774        559.5599       -378.4705       1680.4990
     2307.41881      2307.40990       5374.0576       1666.9526     -18085.6833        559.5599       -231.1078       1666.9526
     2307.42575      2307.41685       5602.5722       1684.5016     -17690.0915        396.1351        -31.7385       1684.5016
     2307.43270      2307.42379       3684.2901       1675.0125     -17662.7590        396.1351       2607.0823       1675.0125
     2307.43964      2307.43073       -107.2752       1660.7474     -21487.0737        396.1351      -4289.5509       1660.7474
     2307.44659      2307.43768       8219.2215       1671.5851     -20642.3142        559.5599       1761.8210       1671.5851
     2307.45353      2307.44462       7923.9287       1677.3900     -22551.8675        396.1351      -1605.2666       1677.3900
     2307.46048      2307.45157        846.0301       1671.5454     -13311.5470        559.5599        559.5599       1671.5454
     2307.46742      2307.45851       8242.4532       1669.2060     -17083.7037        575.3819       1349.1231       1669.2060
     2307.47436      2307.46546      11050.2990       1670.6894     -16184.4441        575.3819       3270.0736       1670.6894
     2307.48131      2307.47240       4548.0197       1654.9697     -16201.9650        626.9293        790.2054       1654.9697
     2307.48825      2307.47935       1888.6343       1668.7105     -16047.2393        626.9293      -1212.4081       1668.7105
     2307.49520      2307.48629       1046.8937       1668.1449     -18007.9254        575.3819      -2260.3880       1668.1449
     2307.50214      2307.49323       5765.6218       1657.3320     -17485.1489        575.3819       2507.9012       1657.3320
     2307.50909      2307.50018        778.4952       1656.6424     -16874.2156        559.5599       -115.8646       1656.6424
     2307.51603      2307.50712       5858.2674       1658.8278     -19699.2192        559.5599       1891.9826       1658.8278
     2307.52298      2307.51407        386.9818       1664.1080     -18600.2669        559.5599       -744.5189       1664.1080
     2307.52992      2307.52101       6195.0090       1675.7514     -13467.7441        559.5599       4319.9391       1675.7514
     2307.53686      2307.52796       2484.8432       1675.5429     -17347.3977        559.5599      -1381.6974       1675.5429
     2307.54381      2307.53490       2283.8038       1703.9661     -14324.5554        559.5599       -414.2722       1703.9661
     2307.55075      2307.54185      10167.7657       1683.8412     -12459.1740        506.0029       4021.4327       1683.8412
     2307.55770      2307.54879       4117.3080       1695.6575     -16840.9402        506.0029        575.3819       1695.6575
     2307.56464      2307.55573       4104.0131       1717.9296     -14821.1242        559.5599        396.1351       1717.9296
     2307.57159      2307.56268       1392.7527       1693.6283     -17282.5661        575.3819      -1121.8474       1693.6283
     2307.57853      2307.56962       7591.0658       1713.8883     -13252.3300        575.3819       3245.5147       1713.8883
     2307.58548      2307.57657       5731.6292       1691.1790     -13949.9050        575.3819       -592.4306       1691.1790
     2307.59242      2307.58351       3484.7189       1721.1236     -11752.1784        626.9293       1989.3162       1721.1236
     2307.59937      2307.59046       -524.8956       1708.3275      -9695.7978        790.2054       -669.6494       1708.3275
     2307.60631      2307.59740       4042.1510       1725.2523     -15380.7487        626.9293        626.9293       1725.2523
     2307.61325      2307.60435       2058.9206       1701.9924      -7971.3457        790.2054      -2546.6588       1701.9924
     2307.62020      2307.61129      10866.0930       1696.3928     -11886.6608        790.2054       3351.8034       1696.3928
     2307.62714      2307.61823      10097.9601       1712.6921     -12736.1938        817.1213       3350.5073       1712.6921
     2307.63409      2307.62518       5552.8637       1684.5551      -8156.0884        817.1213       3904.0188       1684.5551
     2307.64103      2307.63212      10908.5920       1702.7507      -9890.5072        817.1213       3287.8903       1702.7507
     2307.64798      2307.63907       1280.8634       1674.8223      -7834.9847        817.1213        506.0029       1674.8223
     2307.65492      2307.64601       3538.7222       1695.5205     -19158.2951        826.3593      -2069.1277       1695.5205
     2307.66187      2307.65296       5463.2080       1688.9614     -11292.9141        861.7847       1374.8150       1688.9614
     2307.66881      2307.65990        560.7120       1670.7550      -8716.5319        861.7847       -389.7406       1670.7550
     2307.67576      2307.66685       3986.6330       1664.6964      -7528.0435        826.3593       1658.9034       1664.6964
     2307.68270      2307.67379       2936.8259       1641.7250     -16360.7553        826.3593      -1990.6095       1641.7250
     2307.68964      2307.68073       7775.7355       1636.6994      -9314.5726        826.3593       1541.5464       1636.6994
