         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1711.38671      1711.37546      -2658.8124       1254.1653       3399.5963        917.8881      -2173.7606       1254.1653
     1711.40754      1711.39629      -2935.0068       1254.7537       2548.0891        917.8881       1172.5809       1254.7537
     1711.42838      1711.41712      -1407.5975       1252.5091        954.8562        731.1606       -831.6582       1252.5091
     1711.44921      1711.43796      -1106.9700       1250.9465       1245.9363        731.1606        410.0809       1250.9465
     1711.47004      1711.45879         76.9961       1246.8987        898.0749        731.1606       1125.4172       1246.8987
     1711.49088      1711.47962        640.7813       1247.4208       1096.9823        500.7503        917.8881       1247.4208
     1711.51171      1711.50046      -2263.3602       1248.7713       1417.7788        500.7503       -856.3074       1248.7713
     1711.53255      1711.52129      -2879.1008       1250.8705       1638.3307        731.1606       -525.6348       1250.8705
     1711.55338      1711.54212      -2448.5052       1254.4139       1588.5645        500.7503       -150.4312       1254.4139
     1711.57421      1711.56296       2382.5557       1249.5524       1322.8135        410.0809       1637.5496       1249.5524
     1711.59505      1711.58379        523.7234       1248.3893       1746.9039        410.0809       1541.9702       1248.3893
     1711.61588      1711.60462      -2680.5947       1248.5800        843.3009        410.0809      -1265.0365       1248.5800
     1711.63671      1711.62546        170.2019       1249.4683       2000.3537        368.2271        731.1606       1249.4683
     1711.65755      1711.64629       -695.4649       1251.2350        984.2581        368.2271       -832.3815       1251.2350
     1711.67838      1711.66712       1958.2000       1252.0256         24.3833        368.2271       1533.4608       1252.0256
     1711.69922      1711.68796       1155.0345       1251.9376        488.9018        368.2271       2609.7376       1251.9376
     1711.72005      1711.70879       2264.0521       1250.9244       -533.2324        368.2271       1474.0244       1250.9244
     1711.74088      1711.72962       1567.4152       1251.4742       1202.7581        368.2271        500.7503       1251.4742
     1711.76172      1711.75046       1080.8552       1252.1051        163.5888        368.2271        950.2329       1252.1051
     1711.78255      1711.77129       4314.5554       1250.8253       1382.4088        368.2271       2230.8208       1250.8253
     1711.80338      1711.79212        508.2575       1247.3468         93.3194        263.2342        151.5778       1247.3468
     1711.82422      1711.81296       2486.9360       1252.7299       1568.4785        214.2950       1786.7658       1252.7299
     1711.84505      1711.83379       3573.9965       1252.2232       1378.4769        214.2950       2099.0234       1252.2232
     1711.86588      1711.85462       -582.2862       1251.9715       1478.8119        214.2950       1387.0737       1251.9715
     1711.88672      1711.87546       -523.1337       1249.6534       -125.1411        263.2342        263.2342       1249.6534
     1711.90755      1711.89629      -2005.1694       1249.8410        392.1416        316.4153       -416.0788       1249.8410
     1711.92839      1711.91712      -1753.8909       1248.9349       2080.3093        263.2342       -823.6659       1248.9349
