         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1711.38697      1711.37546         97.8382        911.7072       -549.7121       -703.4912        254.0066        911.7072
     1711.40781      1711.39629        123.2110        912.6099       -245.8387       -703.4912       -959.2371        912.6099
     1711.42864      1711.41712       2971.1270        909.5980       -133.9445       -703.4912       1797.3505        909.5980
     1711.44947      1711.43796       -762.4346        908.7822        195.6056       -147.8433      -1060.1549        908.7822
     1711.47031      1711.45879       -895.7486        910.1136       -673.8020       -147.8433       -722.1226        910.1136
     1711.49114      1711.47962        302.0304        910.2600       1258.4882       -103.6725       1366.2884        910.2600
     1711.51197      1711.50046      -5668.3522        907.7603       1371.6364       -103.6725      -2093.3948        907.7603
     1711.53281      1711.52129        415.2079        906.6481        670.1968       -103.6725         55.0969        906.6481
     1711.55364      1711.54212         78.1479        909.4886        753.8364       -103.6725       1632.5624        909.4886
     1711.57448      1711.56296      -1923.8097        907.5918       1981.1670       -103.6725        282.3312        907.5918
     1711.59531      1711.58379       -763.4470        902.7866       1216.2070       -103.6725       -103.6725        902.7866
     1711.61614      1711.60462      -2946.4251        899.9980        738.9324       -103.6725       -987.0457        899.9980
     1711.63698      1711.62546        560.6064        908.0037        236.4558       -103.6725       -840.7661        908.0037
     1711.65781      1711.64629       2908.5486        905.6481        832.0953       -103.6725       1569.5532        905.6481
     1711.67864      1711.66712       2182.1990        906.2325       -842.3619         55.0969       -704.1743        906.2325
     1711.69948      1711.68796        512.6684        909.5841      -1576.0684       -103.6725        268.0891        909.5841
     1711.72031      1711.70879       -589.0771        907.4945       1694.7810       -103.6725       -147.8433        907.4945
     1711.74114      1711.72962       -460.0555        906.2115       -129.4314       -129.4122       -946.0208        906.2115
     1711.76198      1711.75046       -465.6941        906.6223       1182.6279       -103.6725       1833.7072        906.6223
     1711.78281      1711.77129       -267.6351        905.8710       -438.9739       -103.6725       -703.4912        905.8710
     1711.80364      1711.79212      -1598.5861        907.0065        783.4380       -103.6725       -888.0860        907.0065
     1711.82448      1711.81296        -71.0131        904.7836      -1120.0791         55.0969       -744.2902        904.7836
     1711.84531      1711.83379      -2206.9570        907.1817       -495.0614         55.0969      -1763.8314        907.1817
     1711.86614      1711.85462       2309.0421        906.7364       -202.2274        193.2216       2129.1399        906.7364
     1711.88698      1711.87546       1370.2826        907.0788        464.2681         55.0969      -1229.4935        907.0788
     1711.90781      1711.89629      -1417.1149        909.2380       1578.1224       -103.6725        544.7448        909.2380
     1711.92865      1711.91712        621.1363        902.4936      -1296.8287       -103.6725       1552.3082        902.4936
     1711.94948      1711.93796        518.1656        904.3355        -56.7693       -129.4122        614.6698        904.3355
     1711.97031      1711.95879       2856.5553        901.8572      -1310.2001       -103.6725       1813.6102        901.8572
     1711.99115      1711.97962       1111.6988        902.4384        -26.6077         55.0969       1004.3631        902.4384
     1712.01198      1712.00046       1329.0935        903.7632        573.0631       -103.6725        586.1176        903.7632
     1712.03281      1712.02129       -475.7550        899.9822        847.6138       -103.6725       -129.4122        899.9822
     1712.05365      1712.04212        133.4457        905.5416        -99.8308       -129.4122       -191.6421        905.5416
     1712.07448      1712.06296      -2079.2632        909.3047        518.7500       -147.8433       1896.3839        909.3047
     1712.09531      1712.08379        380.8097        912.4735      -1157.1396       -151.3217       -565.3632        912.4735
     1712.11615      1712.10462       1730.4670        907.2995        510.8827       -191.6421       1144.5433        907.2995
     1712.13698      1712.12546        -71.3578        909.5731       -409.4678       -151.3217       -242.6691        909.5731
     1712.15781      1712.14629       1486.5455        909.0550      -1444.9761       -147.8433       1299.1473        909.0550
     1712.17865      1712.16712      -1571.0628        907.2548        143.4226       -151.3217       -632.2411        907.2548
     1712.19948      1712.18796      -1418.0843        905.2982        925.7228       -151.3217        728.4949        905.2982
     1712.22031      1712.20879      -2104.2526        908.4262       1100.4250       -191.6421      -1629.7033        908.4262
     1712.24115      1712.22962         40.5107        908.1788        633.2031       -242.6691        534.8469        908.1788
     1712.26198      1712.25046       -207.3715        910.3828        -95.5343       -231.1093        193.2216        910.3828
     1712.28282      1712.27129        336.9578        915.3089       -696.1561       -242.6691       -151.3217        915.3089
     1712.30365      1712.29212       1267.7732        917.8632        434.2067       -231.1093       1427.5915        917.8632
     1712.32448      1712.31296        572.7851        918.6217        145.8581       -231.1093        459.2150        918.6217
     1712.34532      1712.33379      -1694.8944        914.9023       1460.0431       -231.1093        883.6957        914.9023
     1712.36615      1712.35462       -708.1800        917.3539       -720.5359       -191.6421       -984.5358        917.3539
     1712.38698      1712.37546      -1224.4820        920.8731      -1564.7984       -231.1093      -1707.8323        920.8731
     1712.40782      1712.39629      -1081.3208        919.3105      -2450.9790       -231.1093      -1970.0189        919.3105
     1712.42865      1712.41712      -1054.0111        914.8799       -506.0050       -231.1093      -2176.3532        914.8799
     1712.44948      1712.43796        772.9561        923.4266       -802.4871       -231.1093        938.5852        923.4266
     1712.47032      1712.45879       4069.6288        928.5975      -2649.3506       -242.6691        594.3977        928.5975
     1712.49115      1712.47962       1318.2072        938.4932      -2488.0691       -242.6691      -1705.4764        938.4932
     1712.51198      1712.50046        -98.0547        940.2070      -1834.5375       -242.6691       -261.7084        940.2070
     1712.53282      1712.52129        660.2194        943.5903      -4028.4298       -261.7084      -1616.6559        943.5903
     1712.55365      1712.54212        929.5115        945.8028      -3001.9551       -261.7084      -1081.1404        945.8028
     1712.57448      1712.56296        469.7144        949.0430      -2126.7948       -331.6928      -1825.7859        949.0430
     1712.59532      1712.58379      -2296.6106        957.8415      -1847.2639       -442.9939      -1996.1544        957.8415
     1712.61615      1712.60462       4487.4578        960.7064      -3240.8634       -331.6928       1242.0868        960.7064
     1712.63698      1712.62546       2374.0988        961.5051      -1823.8584       -442.9939        294.6454        961.5051
     1712.65782      1712.64629        784.4911        972.2116      -2018.8258       -565.8409       -679.5262        972.2116
     1712.67865      1712.66712       1762.8124        974.3159      -2276.2950       -565.8409      -1855.8275        974.3159
     1712.69949      1712.68796       2493.8154        973.6604      -2209.4442       -442.9939      -1727.0123        973.6604
     1712.72032      1712.70879       1985.2466        969.6675      -2163.7740       -442.9939       -442.9939        969.6675
     1712.74115      1712.72962       3592.3670        959.0650      -4089.8244       -331.6928       -231.1093        959.0650
     1712.76199      1712.75046      -1440.4313        955.6872      -1058.3690       -331.6928      -2956.9746        955.6872
     1712.78282      1712.77129       5015.4305        966.8626      -1057.1747       -442.9939        724.5486        966.8626
     1712.80365      1712.79212        583.9128        971.2775      -1463.5949       -565.8409      -1848.1010        971.2775
     1712.82449      1712.81296       -280.5406        976.9540      -2042.7744       -565.8409       -777.2266        976.9540
     1712.84532      1712.83379       3966.2999       1001.8785       -317.0742       -565.8409       1632.5972       1001.8785
     1712.86615      1712.85462        802.8519        980.2941       -987.4363       -565.8409      -2498.6831        980.2941
     1712.88699      1712.87546        526.2668        983.8081      -4190.0895       -485.6158      -1943.9040        983.8081
     1712.90782      1712.89629       3259.8496        989.0021      -2062.2612       -485.6158       2292.4152        989.0021
     1712.92865      1712.91712       4463.9474        987.9803      -3433.0752       -485.6158       1106.3494        987.9803
     1712.94949      1712.93796       1967.1711        987.7487      -4148.0313       -442.9939       -565.8409        987.7487
     1712.97032      1712.95879       4515.5837        990.1117        967.6634       -442.9939        103.5394        990.1117
