         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1711.38694      1711.37546      -6363.4897       3376.2374      -6030.9401     -16980.1052     -18886.4784       3376.2374
     1711.40777      1711.39629     -15870.2739       3376.3761      -4547.1142     -16222.3314     -19307.7977       3376.3761
     1711.42861      1711.41712      -2755.6917       3376.0892      -6827.1882     -16980.1052     -16015.5673       3376.0892
     1711.44944      1711.43796      -4562.0534       3367.0005      -8684.1672     -16222.3314     -17703.8956       3367.0005
     1711.47027      1711.45879       -572.8672       3375.8088      -5216.9789     -16222.3314     -14924.0217       3375.8088
     1711.49111      1711.47962      -6301.9285       3379.7825      -6452.5629     -16222.3314     -16222.3314       3379.7825
     1711.51194      1711.50046      -2848.2026       3367.3401      -6330.1788     -16222.3314     -16980.1052       3367.3401
     1711.53277      1711.52129      -8622.8228       3360.6949      -7335.0924     -16222.3314     -17908.0815       3360.6949
     1711.55361      1711.54212      -4527.5629       3382.3119     -13366.9566     -16222.3314     -21679.5376       3382.3119
     1711.57444      1711.56296      -4356.9879       3374.0025     -12389.7972     -16222.3314     -18991.6310       3374.0025
     1711.59527      1711.58379       5698.7871       3359.0561      -8747.6398     -16222.3314      -9374.2064       3359.0561
     1711.61611      1711.60462       2789.0200       3349.9839      -9161.1198     -16222.3314     -13147.1788       3349.9839
     1711.63694      1711.62546      -3927.8511       3371.3971      -9445.3153     -16015.5673     -17757.7473       3371.3971
     1711.65777      1711.64629      -2835.2207       3369.1007      -7261.2784     -16015.5673     -20624.9225       3369.1007
     1711.67861      1711.66712       1275.6596       3373.6668      -9172.0975     -16015.5673     -15418.2467       3373.6668
     1711.69944      1711.68796      22023.6193       3375.6829      -6249.9335     -16015.5673      -7798.5125       3375.6829
     1711.72028      1711.70879       9430.4842       3362.2850      -3295.8060     -15418.2467      -5222.6207       3362.2850
     1711.74111      1711.72962       3792.9465       3366.0453      -6262.9122     -15099.2086      -7815.5017       3366.0453
     1711.76194      1711.75046       4078.3023       3363.6788      -8986.5656     -14924.0217     -12480.2937       3363.6788
     1711.78278      1711.77129     -11305.0898       3369.4917      -6386.9671     -14924.0217     -18390.6109       3369.4917
     1711.80361      1711.79212      -5605.8902       3376.6677     -11057.9218     -14202.6727     -13573.1735       3376.6677
     1711.82444      1711.81296      -9500.6447       3374.2506      -7568.7295     -13573.1735     -17245.6199       3374.2506
     1711.84528      1711.83379       -491.5941       3372.6426      -9322.5508     -13147.1788     -12321.8840       3372.6426
     1711.86611      1711.85462      -7297.0036       3364.1780      -9862.9092     -12698.9116     -17573.5727       3364.1780
     1711.88694      1711.87546      -6109.5738       3367.0840      -7978.2515     -12480.2937     -15099.2086       3367.0840
     1711.90778      1711.89629     -11897.3199       3371.2337      -3966.0974     -12438.7808     -17184.1040       3371.2337
     1711.92861      1711.91712      -4701.2999       3366.0378      -7475.9884     -12321.8840      -9838.7314       3366.0378
     1711.94944      1711.93796      -2476.7810       3371.7421      -7812.2357     -12321.8840      -9376.8129       3371.7421
     1711.97028      1711.95879        710.1946       3363.0482      -6653.7721     -12321.8840      -8927.1608       3363.0482
     1711.99111      1711.97962       5875.6565       3356.0404      -9153.2627     -11911.7759      -5998.7445       3356.0404
     1712.01194      1712.00046      -7784.6531       3355.4309     -10173.7516     -11883.9360     -16244.3369       3355.4309
     1712.03278      1712.02129      -2926.1232       3354.8442      -5415.6930     -10434.5776      -8328.9181       3354.8442
     1712.05361      1712.04212      -2021.5579       3363.6525      -5232.1663      -9964.2742      -7188.3412       3363.6525
     1712.07445      1712.06296     -11508.4725       3372.3638      -5070.7478      -9838.7314     -12698.9116       3372.3638
     1712.09528      1712.08379     -11999.5104       3389.3003      -6250.8117      -9376.8129      -5411.6606       3389.3003
     1712.11611      1712.10462      -1383.1769       3374.3980      -7019.3056      -9376.8129      -4383.4219       3374.3980
     1712.13695      1712.12546      -5418.6084       3380.4416      -6953.2859      -8927.1608      -4379.8777       3380.4416
     1712.15778      1712.14629      -9511.5537       3378.7336      -3439.1543      -8460.9291      -5201.0264       3378.7336
     1712.17861      1712.16712     -11441.5353       3379.4269      -8170.4965      -8328.9181     -14202.6727       3379.4269
     1712.19945      1712.18796        632.9103       3367.2469      -8457.1901      -8299.6127      -8460.9291       3367.2469
     1712.22028      1712.20879      -8405.0170       3371.4239      -6719.2048      -8299.6127     -10434.5776       3371.4239
     1712.24111      1712.22962     -12371.0859       3369.2829      -4489.1657      -8299.6127     -11883.9360       3369.2829
     1712.26195      1712.25046      -7987.7587       3388.8061      -9372.5391      -8299.6127     -11911.7759       3388.8061
     1712.28278      1712.27129        531.1746       3384.7198      -5480.6535      -7203.9489      -3831.9567       3384.7198
     1712.30361      1712.29212      -4534.2810       3391.9336      -6535.8297      -7188.3412      -4716.3119       3391.9336
     1712.32445      1712.31296      -8507.1411       3395.6913      -9874.7325      -7128.5970     -12438.7808       3395.6913
     1712.34528      1712.33379     -15013.8989       3376.7197      -8054.6057      -5998.7445      -9964.2742       3376.7197
     1712.36611      1712.35462        510.1097       3369.4683      -5258.3605      -5411.6606      -2362.8664       3369.4683
     1712.38695      1712.37546     -10355.4416       3390.2079      -5394.0585      -5201.0264      -7203.9489       3390.2079
     1712.40778      1712.39629     -15117.8610       3371.7668      -3657.6185      -4716.3119      -7128.5970       3371.7668
     1712.42861      1712.41712     -16538.0996       3349.8045      -5026.8010      -4383.4219     -14386.5734       3349.8045
     1712.44945      1712.43796     -18137.3084       3367.3391      -8203.5776      -4379.8777     -12979.4946       3367.3391
     1712.47028      1712.45879      -8295.6459       3374.8873      -4619.7023      -3832.4031      -3832.4031       3374.8873
     1712.49111      1712.47962     -18246.5137       3412.4168      -3386.8943      -3831.9567       -887.9301       3412.4168
     1712.51195      1712.50046       1261.4308       3398.0738      -3273.9670      -3168.5153        337.4324       3398.0738
     1712.53278      1712.52129      -6125.9861       3407.3123      -4745.2983      -2362.8664      -1173.7888       3407.3123
     1712.55362      1712.54212     -27453.2043       3398.3568      -4016.1931      -2139.7484       -416.3023       3398.3568
     1712.57445      1712.56296     -30921.0290       3391.3038      -1673.8167      -1505.9662      -8299.6127       3391.3038
     1712.59528      1712.58379     -34024.1025       3413.1300      -1062.1882      -1173.7888      -1505.9662       3413.1300
     1712.61612      1712.60462     -30306.3514       3410.3048        542.2884       -887.9301       1319.4721       3410.3048
     1712.63695      1712.62546     -35581.1187       3390.7061        207.9209       -687.1919      -2139.7484       3390.7061
     1712.65778      1712.64629     -16559.8766       3430.2611       -329.0486       -416.3023       -687.1919       3430.2611
     1712.67862      1712.66712     -39732.3374       3429.3138       5028.1253        146.4113       1645.5144       3429.3138
     1712.69945      1712.68796     -45722.0271       3423.4652       6504.1221        152.6173       1028.1895       3423.4652
     1712.72028      1712.70879     -41496.1204       3405.5597       2910.2468        315.4305      -3168.5153       3405.5597
     1712.74112      1712.72962     -38311.3199       3371.4954       5022.7520        337.4324       3099.7797       3371.4954
     1712.76195      1712.75046      -6924.1422       3360.8692      -1952.1134       1028.1895        152.6173       3360.8692
     1712.78278      1712.77129     -41620.6023       3370.6324       5192.4636       1310.1848       2862.4807       3370.6324
     1712.80362      1712.79212     -43180.2594       3385.1288       3704.9274       1319.1470       1310.1848       3385.1288
     1712.82445      1712.81296      -4414.3372       3391.3325      -5323.8090       1319.4721       3112.5072       3391.3325
     1712.84528      1712.83379     -67032.7399       3456.4305       5686.8077       1513.7973       7499.7192       3456.4305
     1712.86612      1712.85462     -16216.1126       3379.7648      -7248.8982       1534.3381       1319.1470       3379.7648
     1712.88695      1712.87546      -5334.2891       3400.5777     -10095.0681       1534.3381       5558.7558       3400.5777
